"compte";"source";"monnaie ad";"monnaie"
"7 MI 3, r. 6, 42";"p. 151 [n° 61799, 1396-07-13]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 153 [n° 61806, 1396-06-14]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 153 [n° 61807, 1396-06-14]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 153 [n° 61808, 1396-07-14]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 153 [n° 61809, 1396-07-14]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 153 [n° 61810, 1396-07-14]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 153 v [n° 61814, 1396-07-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 153 v [n° 61816, 1396-07-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 154 [n° 61821, 1396-07-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 154 [n° 61822, 1396-07-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 154 [n° 61825, 1396-07-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 154 [n° 61827, 1396-07-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 154 [n° 61829, 1396-07-15]";18;"écus"
"7 MI 3, r. 6, 42";"p. 155 [n° 61838, 1396-07-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 155 [n° 61839, 1396-07-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 160 [n° 61854, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 160 [n° 61855, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 160 [n° 61856, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 160 v [n° 61863, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 160 v [n° 61864, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 160 v [n° 61865, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 160 v [n° 61866, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 160 v [n° 61867, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 160 v [n° 61868, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 160 v [n° 61869, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 160 v [n° 61870, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 [n° 61872, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 [n° 61873, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 [n° 61874, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 [n° 61875, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 [n° 61876, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 [n° 61879, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 [n° 61880, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 [n° 61881, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61883, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61884, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61885, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61886, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61887, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61888, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61889, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61890, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61891, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61892, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61894, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 161 v [n° 61895, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 [n° 61896, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 [n° 61897, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 [n° 61898, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 [n° 61899, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 [n° 61900, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 [n° 61901, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 [n° 61902, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 [n° 61904, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 [n° 61905, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 [n° 61906, 1396-10-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 [n° 61907, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 v [n° 61908, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 v [n° 61909, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 v [n° 61910, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 v [n° 61911, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 v [n° 61912, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 v [n° 61913, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 v [n° 61914, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 162 v [n° 61915, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 [n° 61916, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 [n° 61917, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 [n° 61918, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 [n° 61919, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 [n° 61920, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 [n° 61921, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 [n° 61922, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 [n° 61923, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 [n° 61924, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 [n° 61926, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 [n° 61927, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 v [n° 61928, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 v [n° 61930, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 v [n° 61933, 1396-11-15]";18;"franc or"
"7 MI 3, r. 6, 42";"p. 163 v [n° 61934, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 v [n° 61936, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 v [n° 61937, 1396-11-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 163 v [n° 61938, 1396-12-20]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 164 [n° 61939, 1396-04-17]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 164 [n° 61940, 1397-01-29]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 164 [n° 61941, 1397-01-29]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 164 [n° 61942, 1397-01-29]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 164 [n° 61943, 1397-01-29]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 164 [n° 61944, 1397-01-29]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 164 [n° 61945, 1397-01-29]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 164 [n° 61946, 1397-01-29]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 164 v [n° 61947, 1396-12-06]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 164 v [n° 61948, 1396-12-06]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 168 [n° 61957, 1397-02-21]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 173 [n° 61974, 1397-08-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 173 v [n° 61975, 1397-03-08]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 173 v [n° 61976, 1397-08-08]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 173 v [n° 61977, 1397-08-08]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 174 v [n° 61981, pas de date]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 175 [n° 61988, 1397-07-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 175 [n° 61989, 1397-07-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 175 v [n° 61991, 1397-07-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 188 [n° 62034, 1398-03-19]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 190 [n° 62039, 1398-01-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 190 [n° 62040, 1398-01-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 190 [n° 62041, 1398-01-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 190 [n° 62042, 1398-01-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 190 [n° 62043, 1398-01-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 190 v [n° 62045, 1398-01-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 190 v [n° 62047, pas de date]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 190 v [n° 62048, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 190 v [n° 62049, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191 [n° 62052, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191 [n° 62053, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191 [n° 62054, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191 [n° 62055, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191 [n° 62056, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191 [n° 62057, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191 [n° 62058, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191 [n° 62059, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191 [n° 62060, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191 v [n° 62061, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191v [n° 62062, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191 v [n° 62063, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191v [n° 62064, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191v [n° 62066, 1398-03-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191v [n° 62067, 1397-12-18]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 191v [n° 62068, 1397-12-12]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 192 [n° 62069, 1397-12-12]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 192 [n° 62070, 1397-12-12]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 192 [n° 62071, 1397-12-12]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 192 [n° 62072, 1397-12-12]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 192 [n° 62073, 1397-12-12]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 192 v [n° 62075, 1397-04-01]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 [n° 62076, 1397-04-01]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 [n° 62077, 1397-04-01]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 [n° 62078, 1397-04-01]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 [n° 62079, 1397-04-01]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 [n° 62080, 1397-04-01]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 [n° 62082, 1397-04-01]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 [n° 62083, 1397-04-01]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 [n° 62084, 1397-04-01]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 v [n° 62085, 1397-11-10]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 v [n° 62086, 1397-11-10]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 v [n° 62087, 1397-11-28]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 v [n° 62088, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 v [n° 62089, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 v [n° 62090, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 v [n° 62091, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 193 v [n° 62093, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 [n° 62094, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 [n° 62095, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 [n° 62096, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 [n° 62097, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 [n° 62098, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 [n° 62099, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 [n° 62100, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 [n° 62101, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 [n° 62102, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 [n° 62103, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 [n° 62104, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 v [n° 62105, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 194 v [n° 62106, 1398-01-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 197 v [n° 62107, 1397-11-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 197 v [n° 62108, 1397-11-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 197 v [n° 62109, 1397-11-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 197 v [n° 62110, 1397-11-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 197 v [n° 62111, 1397-11-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 197 v [n° 62112, 1397-11-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 197 v [n° 62113, 1397-11-11]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 198 [n° 62114, 1397-11-25]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 198 [n° 62115, 1397-11-25]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 198 [n° 62117, 1397-11-25]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 198 [n° 62118, 1397-11-25]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 198 [n° 62119, 1397-11-25]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 198 [n° 62120, 1397-11-25]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 198 v [n° 62123, 1397-11-25]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 198 v [n° 62124, 1397-11-25]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 198 v [n° 62125, 1397-11-28]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 198 v [n° 62126, 1397-11-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 198 v [n° 62127, 1397-11-27]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 202 v [n° 62136, 1398-04-25]";15;"franc or"
"7 MI 3, r. 6, 42";"p. 203 [n° 62138, 1397-01-15]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 203 v [n° 62139, 1398-04-28]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 204 [n° 62140, 1398-04-28]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 204 [n° 62141, 1398-04-28]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 204 v [n° 62143, 1398-04-28]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 204 [n° 62144, 1398-04-28]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 204 [n° 62145, 1398-04-28]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 204 [n° 62146, 1398-04-28]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 204 [n° 62147, 1398-04-28]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 20528/04/1398 [n° 62148, 1398-03-16]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 205 [n° 62149, 1398-03-16]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 205 [n° 62150, 1398-03-16]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 205 [n° 62151, 1398-04-13]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 205 [n° 62152, 1398-04-13]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 205 [n° 62153, 1398-04-13]";16;"franc or"
"7 MI 3, r. 6, 42";"p. 206 [n° 62155, 1398-05-13]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 82 [n° 62173, 1402-03-22]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 83 [n° 62176, 1402-02-09]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 83 [n° 62177, 1401-03-22]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 83 [n° 62178, 1402-04-16]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 83 [n° 62179, 1401-03-22]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 86 [n° 62182, 1402-06-27]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 102 [n° 62184, 1401-04-06]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 102 v [n° 62186, 1401-04-26]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 103 [n° 62188, 1401-04-28]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 103 v [n° 62189, 1401-06-03]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 103 v [n° 62190, 1401-06-03]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 103 v [n° 62191, 1401-06-03]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 103 v [n° 62192, 1401-06-03]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 103 v [n° 62193, 1401-06-05]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 104 [n° 62195, 1401-06-15]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 104 [n° 62196, 1401-06-15]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 106 [n° 62214, 1401-10-25]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 108 [n° 62235, 1401-12-20]";15;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 109 [n° 62239, 1402-01-13]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 109 [n° 62240, 1402-01-16]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 109 v [n° 62241, 1402-01-20]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 112 [n° 62252, 1402-02-18]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 112 v [n° 62254, 1402-03-02]";15;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 113 v [n° 62263, 1402-04-05]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 114 [n° 62267, 1402-04-17]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 114 v [n° 62269, 1402-04-23]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 115 v [n° 62280, 1402-05-20]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 116 v [n° 62287, 1402-05-30]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 116 v [n° 62289, 1402-06-02]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 117 [n° 62290, 1402-06-03]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 117 [n° 62291, 1402-06-05]";18;"écus"
"7 MI 3, r. 9 et r. 10, 46";"p. 118 v [n° 62297, 1402-07-15]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 132 [n° 62304, 1402-04-16]";16;"franc or"
"7 MI 3, r. 9 et r. 10, 46";"p. 136 v [n° 62307, 1402-08-17]";15;"franc or"
"7 MI 3, r. 9, 45";"p. 57 [n° 62310, 1398-11-26]";16;"franc or"
"7 MI 3, r. 9, 45";"p. 66 v [n° 62311, 1400-10-31]";16;"franc or"
"7 MI 3, r. 9, 45";"p. 80 [n° 62312, 1401-02-04]";16;"franc or"
"7 MI 3, r. 9, 45";"p. 90 v [n° 62325, 1401-02-02]";16;"franc or"
"7 MI 3, r. 9, 45";"p. 98 [n° 62350, 1400-11-19]";15;"franc or"
"7 MI 3, r. 9, 45";"p. 99 [n° 62357, 1400-12-02]";15;"franc or"
"7 MI 3, r. 9, 45";"p. 99 v [n° 62358, 1400-12-02]";15;"franc or"
"7 MI 3, r. 9, 45";"p. 100 [n° 62364, 1400-12-15]";16;"franc or"
"7 MI 3, r. 9, 45";"p. 103 v [n° 62376, 1401-01-31]";15;"franc or"
